name,artist,,,tags,,year,,,,,,,,,
Yellow Submarine,The Beatles,,,"rock, pop, classic_rock, british, psychedelic, 60s, oldies",,2011,,,,,,,,,
When I Come Around,Green Day,,,"rock, alternative, alternative_rock, punk, punk_rock, 90s",,2001,,,,,,,,,
Lonely Boy,The Black Keys,,,"rock, indie, indie_rock, blues, american, blues_rock",,2012,,,,,,,,,
Holiday,Green Day,,,"rock, alternative, alternative_rock, punk, punk_rock, american",,2017,,,,,,,,,
Lovesong,The Cure,,,"rock, alternative, pop, alternative_rock, 80s, british, new_wave, post_punk, love",,2007,,,,,,,,,
Behind Blue Eyes,Limp Bizkit,,,"rock, alternative, metal, alternative_rock, cover, nu_metal",,2005,,,,,,,,,
Chelsea Dagger,The Fratellis,,,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",,2010,,,,,,,,,
The Unforgiven,Metallica,,,"rock, metal, hard_rock, heavy_metal, thrash_metal, 90s",,1991,,,,,,,,,
Hollaback Girl,Gwen Stefani,,,"rock, pop, female_vocalists, dance, hip_hop",,2004,,,,,,,,,
Go With the Flow,Queens of the Stone Age,,,"rock, alternative, alternative_rock, hard_rock, 00s",,2003,,,,,,,,,
Just,Radiohead,,,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",,2008,,,,,,,,,
Brown Eyed Girl,Van Morrison,,,"rock, pop, classic_rock, folk, singer_songwriter, 60s, oldies",,2010,,,,,,,,,
Teddy Picker,Arctic Monkeys,,,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",,2007,,,,,,,,,
Monkey Wrench,Foo Fighters,,,"rock, alternative, alternative_rock, hard_rock, 90s, grunge",,1997,,,,,,,,,
Tears in Heaven,Eric Clapton,,,"rock, classic_rock, singer_songwriter, blues, 90s, acoustic, guitar, mellow, blues_rock",,2002,,,,,,,,,
Something,The Beatles,,,"rock, pop, classic_rock, british, 60s, oldies, love, beautiful",,2014,,,,,,,,,
